RGD:1587144	LOC679539
RGD:9219913	LOC103689943
RGD:1306371	Uvssa
RGD:1589127	Upf1
RGD:1311427	Fancl
RGD:1306765	Ggn
RGD:1561537	Ercc6l2
RGD:1310976	Usp45
RGD:6486058	LOC100912618
RGD:2802	Hmgb1
RGD:620939	Timeless
RGD:1307492	Smc5
RGD:1310746	Chchd4
RGD:1303321	Ier3
RGD:1565144	Dtx3l
RGD:708496	Prpf19
RGD:1305576	Setd2
RGD:727838	Ube2v2
RGD:1307099	Eya4
RGD:620096	Eya2
RGD:1310411	Usp47
RGD:1359471	Morf4l2
RGD:1307938	Morf4l1
RGD:1307534	Parp9
RGD:621124	Cdk7
RGD:628874	Mnat1
RGD:3877	Tnfaip1
RGD:2122	Apbb1
RGD:1584849	Eya1
RGD:1591971	Psme4
RGD:1310439	Dtl
RGD:9288456	LOC103694506
RGD:1311509	Ercc6
RGD:1310816	Ube2t
RGD:620418	Fbxo6
RGD:1565480	Ube2u
RGD:1311886	Kif22
RGD:1560038	Tigar
RGD:7571422	LOC102551929
RGD:1309376	Rec8
RGD:620247	Cetn2
RGD:1561972	Ccdc155
RGD:1308516	Trip13
RGD:1562861	Taok3
RGD:621236	Ubr5
RGD:1587557	Rad21l1
RGD:1309702	Wdr48
RGD:1303095	Zbtb1
RGD:1563853	Cul4a
RGD:1597089	Baz1b
RGD:2319	Cdk1
RGD:1311387	Nudt16
RGD:3397	Prkcg
RGD:1562602	Pml
RGD:621061	Kat5
RGD:1303085	Nop53
RGD:1308542	Sirt1
RGD:1594529	Rad21
RGD:1307112	Fignl1
RGD:1305216	Sirt6
RGD:1564494	Cul4b
RGD:1561965	Usp10
RGD:1309899	Rad23a
RGD:9295755	LOC103694902
RGD:68359	Pttg1
RGD:2593	Fancc
RGD:1312021	Tnks1bp1
RGD:6503620	Ube2w
RGD:1561763	Huwe1
RGD:621080	Nudt1
RGD:1594532	Psmd14
RGD:1589754	Uvrag
RGD:1305156	Nsmce2
RGD:1312046	Mc1r
RGD:708345	Ube2b
RGD:1309419	Kdm2a
RGD:1563746	Meioc
RGD:621072	Bard1
RGD:1305911	Ap1s1
RGD:1359534	Ube2a
RGD:619912	Ube2d3
RGD:621808	Park7
RGD:621595	Vcp
RGD:69259	Axin2
RGD:2606	Fgf10
RGD:68371	Mtor
RGD:2543	Egfr
RGD:1593284	Hspa1a
RGD:708455	Taok1
RGD:2346	Chrna4
RGD:3731	Sod1
